fecha,ticker,precio_actual,invertido,valor_actual,ganancia_usd,ganancia_pct
2026-08-05 18:01,ROSE-USD,0.005489999894052744,53.644114187999996,28.236450739086603,-25.407663448913393,-47.363375895946845
2026-08-05 18:01,ALGO-USD,0.08856000006198883,49.9153347,39.01590506730974,-10.899429632690264,-21.83583401413166
2026-08-05 18:01,ARB-USD,0.0006290287710726261,49.991958000000004,0.164640732483007,-49.827317267516996,-99.67066556488345
2026-08-05 18:01,LDO-USD,0.29100000858306885,49.94596404,25.884730123472213,-24.061233916527787,-48.17453097362977
2026-08-05 18:01,LINK-USD,8.133999824523926,72.8034,52.87099885940552,-19.93240114059448,-27.378393235198466
2026-08-05 18:01,ONDO-USD,0.37279999256134033,24.94574928,24.31949567474127,-0.6262536052587322,-2.510462196302219
2026-08-05 18:01,TOTAL,,301.246520208,170.49222119649832,-130.75429901150167,-43.40441805642119
2026-08-05 18:05,ROSE-USD,0.005489999894052744,53.644114187999996,28.236450739086603,-25.407663448913393,-47.363375895946845
2026-08-05 18:05,ALGO-USD,0.08872999995946884,49.9153347,39.090800052143635,-10.824534647856368,-21.68578997399043
2026-08-05 18:05,ARB-USD,0.0006290287710726261,49.991958000000004,0.164640732483007,-49.827317267516996,-99.67066556488345
2026-08-05 18:05,LDO-USD,0.2919999957084656,49.94596404,25.973679938263892,-23.972284101736108,-47.99643887649767
2026-08-05 18:05,LINK-USD,8.12399959564209,72.8034,52.805997371673584,-19.997402628326412,-27.4676768232341
2026-08-05 18:05,ONDO-USD,0.37244999408721924,24.94574928,24.29666362928152,-0.6490856507184795,-2.601988993928028
2026-08-05 18:05,POL28321-USD,0.07479999959468842,25.218496260000002,17.76217994375378,-7.456316316246223,-29.56685537223313
2026-08-05 18:05,TOTAL,,326.465016468,188.330412406686,-138.13460406131398,-42.31222247203748
2026-08-06 16:57,ROSEUSDT,0.00578,53.644114187999996,29.727994247999998,-23.916119939999998,-44.582933844678806
2026-08-06 16:57,GRTUSDT,0.01453,74.39327999999999,33.09934,-41.29393999999999,-55.50762111846661
2026-08-06 16:57,ALGOUSDT,0.0891,49.9153347,39.2538069,-10.661527800000002,-21.35922330097087
2026-08-06 16:57,ARBUSDT,0.0789,49.991958000000004,20.6511282,-29.340829800000005,-58.69109947643979
2026-08-06 16:57,LDOUSDT,0.2934,49.94596404,26.098211663999997,-23.847752376000003,-47.74710596616207
2026-08-06 16:57,LINKUSDT,8.23,72.8034,53.495000000000005,-19.308399999999992,-26.521288840905775
2026-08-06 16:57,ONDOUSDT,0.3625,24.94574928,23.64757875,-1.2981705300000002,-5.203974895397496
2026-08-06 16:57,POLUSDT,0.07503,25.218496260000002,17.816796369,-7.401699891000003,-29.350282485875706
2026-08-06 16:57,TOTAL,,400.858296468,243.78985613100002,-157.06844033699997,-39.183033436240365
2026-08-06 17:31,LINKUSDT,8.204,615.0,410.20000000000005,-204.79999999999995,-33.30081300813008
2026-08-06 17:31,BTCUSDT,64375.26,3000.0,3218.7630000000004,218.76300000000037,7.292100000000003
2026-08-06 17:31,ETHUSDT,1904.37,3840.0,2285.2439999999997,-1554.7560000000003,-40.4884375
2026-08-06 17:31,ROSEUSDT,0.00577,71.644114188,41.216561731999995,-30.427552456000008,-42.470414772880886
2026-08-06 17:31,GRTUSDT,0.01449,0.0,0.0,0.0,inf
2026-08-06 17:31,POLUSDT,0.07506,0.0,0.0,0.0,inf
2026-08-06 17:31,TOTAL,,7526.6441141880005,5955.423561732,-1571.2205524560004,-20.875446329316834
2026-08-06 21:51,LINKUSDT,8.205,615.0,410.25,-204.75,-33.29268292682927
2026-08-06 21:51,BTCUSDT,64471.73,3000.0,3223.5865000000003,223.58650000000034,7.4528833333333395
2026-08-06 21:51,ETHUSDT,1904.99,3840.0,2285.988,-1554.0120000000002,-40.4690625
2026-08-06 21:51,ROSEUSDT,0.00576,71.644114188,41.145129216,-30.498984972000002,-42.57011942665405
2026-08-06 21:51,GRTUSDT,0.01453,0.0,0.0,0.0,inf
2026-08-06 21:51,POLUSDT,0.07516,0.0,0.0,0.0,inf
2026-08-06 21:51,TOTAL,,7526.6441141880005,5960.969629216001,-1565.6744849719998,-20.801760535225068
2026-08-07 09:02,ROSEUSDT,0.00565,53.644114187999996,29.059371539999997,-24.584742648,-45.829338446788114
